Season	Episode	Product	Asking	GotDeal	Investors	DealTerms
1	1	ava the elephant	$50,000 for 15%	YES	Barbara Corcoran	$50,000 for 55%
1	1	college foxes packing boxes	$250,000 for 25%	NO	NA	NA
1	1	ionic ear	$1,000,000 for 15%	NO	NA	NA
1	1	mr. tod's pie factory	$460,000 for 10%	YES	Barbara Corcoran, Daymond John	$460,000 for 50%
1	1	wispots	$1,200,000 for 10%	NO	NA	NA
1	2	a perfect pear	$500,000 for 15%	YES	Kevin Harrington, Robert Herjavec	$500,000 for 50%
1	2	classroom jams	$250,000 for 10%	YES	Kevin Harrington, Robert Herjavec, Kevin O'Leary, Daymond John, Barbara Corcoran	$250,000 for 100%
1	2	crooked jaw	$200,000 for 20%	NO	NA	NA
1	2	lifebelt	$500,000 for 10%	NO	NA	NA
1	2	sticky note holder	$100,000 for 20%	NO	NA	NA
1	3	50 state capitals deck	$155,000 for 10%	NO	NA	NA
1	3	kwyzta chopstick art	$100,000 for 10%	NO	NA	NA
1	3	stress free kids	$250,000 for 20%	YES	Barbara Corcoran	$250,000 for 50%
1	3	turbobaster	$35,000 for 35%	YES	Kevin Harrington	$35,000 for 100%
1	3	voyage air guitar	$500,000 for 5%	NO	NA	NA
1	4	coffee brand gifts	$300,000 for 40%	NO	NA	NA
1	4	coverplay	$350,000 for 15%	YES	Barbara Corcoran	$350,000 for 40%
1	4	gift card rescue	$150,000 for 30%	YES	Robert Herjavec, Kevin O'Leary	$200,000 for 50%
1	4	graffiti removal services	$350,000 for 15%	NO	NA	NA
1	4	soul's calling	$150,000 for 25%	NO	NA	NA
1	5	body jac	$180,000 for 20%	YES	Barbara Corcoran, Kevin Harrington	$180,000 for 50%
1	5	face blok	$50,000 for 30%	NO	NA	NA
1	5	good grief celebrations	$50,000 for 25%	NO	NA	NA
1	5	granola gourmet	$175,000 for 25%	NO	NA	NA
1	5	my therapy journal	$80,000 for 20%	YES	Robert Herjavec, Kevin O'Leary	$80,000 for 51%<U+FFFD>
1	6	element bars	$150,000 for 15%	YES	Kevin Harrington	$150,000 for 30%
1	6	kalyx	$125,000 for 20%	NO	NA	NA
1	6	pork barrel bbq	$50,000 for 10%	YES	Barbara Corcoran	$50,000 for 50%
1	6	the fizz	$150,000 for 25%	NO	NA	NA
1	6	underease underwear	$55,000 for 25%	NO	NA	NA
1	7	boogie box fitness	$700,000 for 70%	NO	NA	NA
1	7	funhouse	$300,000 for 20%	NO	NA	NA
1	7	grill charms	$50,000 for 25%	YES	Robert Herjavec	$50,000 for 25%
1	7	soy-yer-dough	$125,000 for 25%	YES	Robert Herjavec, Kevin O'Leary, Daymond John	$300,000 for 51%
1	8	notehall	$90,000 for 10%	YES	Barbara Corcoran	$90,000 for 25%
1	8	throx	$50,000 for 25%	NO	NA	NA
1	8	treasure chest pets	$150,000 for 20%	YES	Barbara Corcoran, Daymond John	$150,000 for 60%
1	8	washed up hollywood	$500,000 for 25%	NO	NA	NA
1	9	chill soda	$50,000 for 10%	YES	Barbara Corcoran	$50,000 for 20%
1	9	cornucopia	$300,000 for 15%	NO	NA	NA
1	9	gayla bentley fashion	$250,000 for 20%	YES	Barbara Corcoran, Daymond John	$250,000 for 50%
