Season	Episode	AirDate	Viewers	Product	Deal	GotDeal	Asking	DealTerms	Sharks	Investors
1	1	2009-08-09	4.23	ava the elephant	YES	YES	$50,000 for 15%	$50,000 for 55%	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec	Barbara Corcoran
1	1	2009-08-09	4.23	college foxes packing boxes	NO	NO	$250,000 for 25%	NA	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec	NA
1	1	2009-08-09	4.23	ionic ear	NO	NO	$1,000,000 for 15%	NA	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec	NA
1	1	2009-08-09	4.23	mr. tod's pie factory	YES	YES	$460,000 for 10%	$460,000 for 50%	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec	Barbara Corcoran, Daymond John
1	1	2009-08-09	4.23	wispots	NO	NO	$1,200,000 for 10%	NA	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec	NA
1	2	2009-08-16	5.72	a perfect pear	YES	YES	$500,000 for 15%	$500,000 for 50%	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec	Kevin Harrington, Robert Herjavec
1	2	2009-08-16	5.72	classroom jams	YES	YES	$250,000 for 10%	$250,000 for 100%	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec	Kevin Harrington, Robert Herjavec, Kevin O'Leary, Daymond John, Barbara Corcoran
1	2	2009-08-16	5.72	crooked jaw	NO	NO	$200,000 for 20%	NA	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec	NA
1	2	2009-08-16	5.72	lifebelt	NO	NO	$500,000 for 10%	NA	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec	NA
1	2	2009-08-16	5.72	sticky note holder	NO	NO	$100,000 for 20%	NA	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec	NA
1	3	2009-08-23	5.61	50 state capitals deck	NO	NO	$155,000 for 10%	NA	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec	NA
