Season	Episode	AirDate	Viewers	Product	Deal	Sharks
1	1	2009-08-09	4.23	mr. tod's pie factory	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	1	2009-08-09	4.23	ionic ear	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	1	2009-08-09	4.23	wispots	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	1	2009-08-09	4.23	ava the elephant	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	1	2009-08-09	4.23	college foxes packing boxes	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	2	2009-08-16	5.72	crooked jaw	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	2	2009-08-16	5.72	lifebelt	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	2	2009-08-16	5.72	a perfect pear	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	2	2009-08-16	5.72	sticky note holder	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	2	2009-08-16	5.72	classroom jams	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	3	2009-08-23	5.61	turbobaster	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	3	2009-08-23	5.61	kwyzta chopstick art	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	3	2009-08-23	5.61	stress free kids	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	3	2009-08-23	5.61	50 state capitals deck	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	3	2009-08-23	5.61	voyage air guitar	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	4	2009-08-30	4.79	gift card rescue	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	4	2009-08-30	4.79	soul's calling	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	4	2009-08-30	4.79	coffee brand gifts	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	4	2009-08-30	4.79	graffiti removal services	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	4	2009-08-30	4.79	coverplay	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	5	2009-09-06	3.56	body jac	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	5	2009-09-06	3.56	face blok	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	5	2009-09-06	3.56	granola gourmet	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	5	2009-09-06	3.56	good grief celebrations	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	5	2009-09-06	3.56	my therapy journal	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	6	2009-09-13	4.3	element bars	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	6	2009-09-13	4.3	the fizz	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	6	2009-09-13	4.3	underease underwear	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	6	2009-09-13	4.3	kalyx	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	6	2009-09-13	4.3	pork barrel bbq	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	7	2009-09-29	5.28	grill charms	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	7	2009-09-29	5.28	funhouse	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	7	2009-09-29	5.28	boogie box fitness	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	7	2009-09-29	5.28	soy-yer-dough	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	8	2009-10-06	5.15	notehall	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	8	2009-10-06	5.15	treasure chest pets	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	8	2009-10-06	5.15	throx	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	8	2009-10-06	5.15	washed up hollywood	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	9	2009-10-13	5.4	chill soda	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	9	2009-10-13	5.4	cornucopia	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	9	2009-10-13	5.4	virtusphere	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	9	2009-10-13	5.4	gayla bentley fashion	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	10	2009-10-20	5.92	the bobble place	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	10	2009-10-20	5.92	mr. poncho	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	10	2009-10-20	5.92	uroclub	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	10	2009-10-20	5.92	jump forward	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	11	2010-01-08	3.96	romp n' roll	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	11	2010-01-08	3.96	hells bells	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	11	2010-01-08	3.96	the twister	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	11	2010-01-08	3.96	the chef in black	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	11	2010-01-08	3.96	ink flip	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	12	2010-01-15	4.44	the factionist	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	12	2010-01-15	4.44	podillow	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	12	2010-01-15	4.44	wee can shop	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	12	2010-01-15	4.44	grease monkey wipes	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	13	2010-01-29	4.4	lipstix remix	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	13	2010-01-29	4.4	captain ice cream	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	13	2010-01-29	4.4	caffeindicator	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	13	2010-01-29	4.4	legal grind	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	14	2010-02-05	4.65	send a ball	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	14	2010-02-05	4.65	qubits	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	14	2010-02-05	4.65	pillars of slippers	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	14	2010-02-05	4.65	llama brew	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
1	14	2010-02-05	4.65	nubrella	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	1	2011-03-20	6.13	wurkin stiffs	YES	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	1	2011-03-20	6.13	tippi toes	YES	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	1	2011-03-20	6.13	cbs foods	NO	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	1	2011-03-20	6.13	copa di vino	NO	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	2	2011-03-25	4.64	toygaroo	YES	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	2	2011-03-25	4.64	wake n' bacon	NO	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	2	2011-03-25	4.64	vurtego	NO	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	2	2011-03-25	4.64	first defense nasal screen	YES	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	3	2011-04-01	4.87	mod mom furniture	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	3	2011-04-01	4.87	fitness stride	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	3	2011-04-01	4.87	flipoutz	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	3	2011-04-01	4.87	pure ayre	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	4	2011-04-08	4.66	ride-on carry-on	YES	Jeff Foxworthy, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	4	2011-04-08	4.66	uncle zip's beef jerky	NO	Jeff Foxworthy, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	4	2011-04-08	4.66	hillbilly brand	YES	Jeff Foxworthy, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	4	2011-04-08	4.66	broccoli wad	YES	Jeff Foxworthy, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	5	2011-04-15	5.28	fridge fronts	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	5	2011-04-15	5.28	new era brands	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	5	2011-04-15	5.28	thin gloss	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	5	2011-04-15	5.28	lightfilm	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	6	2011-04-22	4.28	hot mama gowns	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	6	2011-04-22	4.28	caddy swag	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	6	2011-04-22	4.28	daisy cakes	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	6	2011-04-22	4.28	sweep easy	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	7	2011-04-29	4.82	carsik bib	NO	Jeff Foxworthy, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	7	2011-04-29	4.82	hydromax	YES	Jeff Foxworthy, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	7	2011-04-29	4.82	ecomowers	NO	Jeff Foxworthy, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	7	2011-04-29	4.82	games2u	NO	Jeff Foxworthy, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	8	2011-05-06	4.45	origaudio	YES	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	8	2011-05-06	4.45	man candle	NO	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	8	2011-05-06	4.45	original runner company	NO	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	8	2011-05-06	4.45	hyconn	YES	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	9	2011-05-13	4.99	citikitty	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	9	2011-05-13	4.99	samson martin	NO	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	9	2011-05-13	4.99	aldo orta jewelry	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
2	9	2011-05-13	4.99	one sole	YES	Kevin Harrington, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
3	1	2012-01-20	6.25	the clean bottle	YES	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
3	1	2012-01-20	6.25	my wonderful life	NO	Mark Cuban, Daymond John, Kevin O'Leary, Barbara Corcoran, Robert Herjavec
